,Ratings,Title,Content
0,1.0 out of 5 stars,"Stopped working after a week, Apple gave us a hard time about exchanging them","







  
  
    We bought a brand new set of AirPods for $159. After using them for a week, I was listening to them and the right air pod went dead. I figured, maybe I just need to charge them. So when I got home I charged them, and the next day I went to use them again and the right air bud was still dead. So I did some research, tried to reset them, and then I couldn't reconnect them to my phone at all.Once I contacted Apple, they tried to give us the run around. They wanted us to let them fully die, which makes sense, so we did that. Then, when they still didn't work we wanted to exchange the faulty pair for a new set (BECAUSE WE PAID 159 DOLLARS AND ONLY USED THEM FOR A WEEK). Keep in mind, they were taken care of, not dropped, no water damage, they were expensive so they were treated delicately.  Apple wanted a $180 deposit to get a new set, which is MORE THAN WHAT I ORIGINALLY PAID FOR.I decided to contact Amazon, and they suggested contacting Apple, but once I explained what was going, on Amazon offered to make things right and send out a replacement. Never had an issue with Amazon's customer service, but Apple was extremely disappointing. I won't purchase these again.
  
"
1,5.0 out of 5 stars,This IS the latest model!!,"







  
  
    Many customers are complaining that this is not the latest model. This is false. Apple released two configurations with the second generation AirPods. The first configuration is $160 and comes with the new H1 chip AirPods and a standard case (no LED on exterior). The second is $200 and comes with the wireless case. This product page is for the new gen2 AirPods with standard case, hence $160. You can check the serial number on Apple’s website and it will tell you that this is the latest model.
  
"
2,5.0 out of 5 stars,"Todo bien con el producto , pero no tiene funda con carga inalámbrica","







  
    Al parecer lo que pasa es que el título del producto esta mal traducido al español e incluye la frase ""funda de carga inalámbrica"" lo cual no es correcto, ya que al comprarlo es la funda normal que solo tiene carga con cable.Esto se puede comprobar cambiando el idioma de amazon a Ingles y notando que el título del producto cambia y ya no incluye el ""Wireless charging"" que deberia de tener.Lo dejo como un comentario que espero retroalimente y aclare a las personas que piensan comprarlos y ojala que amazon y apple corrijan este error de traducción.
  
  
"
3,1.0 out of 5 stars,Apple,"







  
  
    Apple air
  
"
4,5.0 out of 5 stars,"These have excellent sound quality and great Bass, too. I think the price is well worth it! LOVE EM!","







  
  
    I have tried several “cheaper” imitations of AirPods and they were just ok. I have been waiting to get these and let me tell you, I’m sold. THESE ARE GREAT! As soon as I got them, I had to try them out. First of all, they paired with my iPhone XR, almost instantly. All I had to do was have my phone open and near the AirPods, while they were still in the charging case, open the lid and within seconds they paired! It displays the charge of both the AirPods and the case on your phone, too! Super cool! I selected one of my favorite Classic Rock bands and started jamming. The sound quality was awesome! These have a excellent Bass response, too. These were a outstanding purchase for me. I’m so glad that I patiently waited for the AirPod 2s! I had been reading a lot of expert reviews about them. The original AirPods are good I have heard, but for several improvements these are even better. I definitely recommend them. I’m another satisfied listener and a very happy customer.
  
"
5,5.0 out of 5 stars,I like them,"







  
  
    I'm not really sure how helpful a review is at this point. Everyone who's going to buy AirPods already knows that they like them or not. Apple is releasing some AirPods with noise cancellation, I think that's the biggest complaint most people have: that they don't feel like they're deafened to the world around them. But everytime someone comes into my office I have to stop the music or take the AirPods completely out of my ears to hear them clearly. The sound quality is decent. I'm no audiophile so to me they sound great. They also are easy to lose, but so are any other tiny cordless in-ear earphones. Just keep track of them and you should be good to go. At first they hurt my ears so I bought some silicone covers with wingtips. They helped the AirPods stay in my ears without moving around and ""softened"" the edges of the earphones. I guess they stretched my ears out or I just got used to wearing them, because now even without the silicone covers they fit and feel just fine. The battery life is pretty good, and popping them back in the case for 10-15 minutes boosts them almost back up to full. So I'll wear them at work and then if I get up to grab a drink or use the bathroom I'll give the AirPods a quick charge and be good to go the rest of the day. At first double-tapping to get them to pause or skip a song was frustrating but there's a tutorial online somewhere that shows you where to tap to get consistent results: just above the neck of the AirPods. They pair immediately with your iPhone and I've never had any connectivity issues or sound quality issues, so I'm very happy with my purchase.
  
"
6,1.0 out of 5 stars,right pod stopped working less than week of purchasing,"







  
  
    right pod suddenly stopped working less than a week of purchasing and as well as case connectivity issues. i did not drop it or water damage it, seems to be a manufacturing defect. Apple is replacing it for me, but it will take a week...
  
"
7,1.0 out of 5 stars,NOT THE LATEST MODEL - Disgusting product. Spend your money somewhere else!,"







  
  
    THIS IS NOT THE LATEST MODEL. DO NOT BUY THESE IF YOU WANT AIRPODS 2. Also, mine did not work. They never paired and I feel like Amazon is scamming people by selling these as if they were in fact the latest model.Edit: The second pair just came in and they are absolutely disgusting. If anyone at Amazon looked at these and thought it was okay to ship the product in this condition, I would be surprised. Please look at the pictures I attached. I have never been so displeased at a product/company. There's earwax on the headphones, dust and dirt all over the insides, and so on. I reiterate - do NOT buy this product.
  
"
8,1.0 out of 5 stars,Don’t buy!,"







  
  
    Do not buy! When they arrived they were in a box with not bubble wrap or anything. They connected to my phone for a few minutes and never connected again. Do not waist your money!!
  
"
9,1.0 out of 5 stars,Beware!,"


















    
        

        
        
            
        

        
            
            
                
                        
                
                
                    The media could not be loaded.
                
            
                
            
        
    
    








  
  
     I ordered these ""Original Apple AirPods"" for my girlfriend as a birthday present. I was super excited for her, but to my surprise, as soon as the package arrived I saw there was something wrong. Immediately looking at the box (see pictures and video) containing the ""AirPods"" I could tell this was not an original apple product (no apple logo, or serial number). Once I opened the colored box I could confirm that I was right on my assumption.I already contacted Amazon but I live in the Dominican Republic and I know I can't return packages to the US, so I'm stuck with some cheap knock offs, I will never use, which I paid more than 130+ Dollars.All of this is very annoying... I did NOT buy it through a third party seller, specifically because I wanted to avoid this situation. I'm very upset I got ""tricked"" into buying what I thought was an original product (paid in full as an original) sponsored by Amazon.
  
"
0,5.0 out of 5 stars,Love these.,"







  
  
    Great product.  Sounds good.  Connected to both my Android and iPhone.  Siri works good with these
  
"
1,1.0 out of 5 stars,Not latest model,"







  
  
    This is not the wireless  charging  model this is not even the (latest version) I bought these thinking they where the newest version 2 AirPods with charging case this is not the case
  
"
